Study	Site	Qualatative/Quantative	pH	Salinity	Latitude	Longitude	Description	Earth_Water_Air	Sequencing	Library kit	Extraction	BioProject ID	SRA_id	K (mM)	Na (mM)	T(°C)
Ayala-Munoz2020	11-m Depth Chemocline	Quantitative	3,95	0,259	37,78	-6,82	AMD	Water	Illumina HiSeq 4000	Illuminas NexteraXT library preparation kit		PRJNA646106	SRR12217114			12,5
Zapp2021	SB_0,2_2018	Quantitative	7,2	7,5	71,2238	-156,3083	Brine	Water	Illumina NovaSeq	KAPA Illumina library creation kit	PowerMax Soil kit	IMG	IMG			-3
Zapp2021	CB4_2018	Quantitative	6,6	12,1	71,2238	-156,3083	Brine	Water	Illumina NovaSeq	KAPA Illumina library creation kit	PowerMax Soil kit	IMG	IMG			-6
Zapp2021	CBIW_0,2_2017	Quantitative	6,6	12,1	71,2223	-156,3018	Brine	Water	Illumina NovaSeq	KAPA Illumina library creation kit	PowerMax Soil kit	IMG	IMG			-6
Zapp2021	CB1_2018	Quantitative	6,6	14	71,2238	-156,3083	Brine	Water	Illumina NovaSeq	KAPA Illumina library creation kit	PowerMax Soil kit	IMG	IMG			-6
Rodrigeuz-Ramos2018	DNA_CamuyWater	Qualatative			18,2	66,5	Cave	Water	Illumina Miseq			PRJNA487362 	SRR7741201			
Zeljko2024	0m_Z	Quantitative	8,7	0,1	44,7	15,7	Cave	Water	Illumina NovaSeq 6000	-	DNA easy Power Water kit	PRJNA1052463	SRR27205378			16
Zeljko2024	2m_Z	Quantitative	7,05	0,9	44,7	15,7	Cave	Water	Illumina NovaSeq 6000	-	DNA easy Power Water kit	PRJNA1052463	SRR27205373			14,7
Zeljko2024	4m_Z	Quantitative	7,1	2	44,7	15,7	Cave	Water	Illumina NovaSeq 6000	-	DNA easy Power Water kit	PRJNA1052463	SRR27205368			14,5
Zeljko2024	7m_Z	Quantitative	7,2	2,5	44,7	15,7	Cave	Water	Illumina NovaSeq 6000	-	DNA easy Power Water kit	PRJNA1052463	SRR27205365			14,7
Zeljko2024	10m_Z	Quantitative	7,2	3,2	44,7	15,7	Cave	Water	Illumina NovaSeq 6000	-	DNA easy Power Water kit	PRJNA1052463	SRR27205363			14,9
Zeljko2024	12m_Z	Quantitative	7,25	3,5	44,7	15,7	Cave	Water	Illumina NovaSeq 6000	-	DNA easy Power Water kit	PRJNA1052463	SRR27205360			14,8
Ghaly2023	2m_Bundera	Qualatative			-22,38333	113,78333	Cave	Water	Illumina HiSeq X	Nextera XT library preparation kit	DNA easy Power Water kit	PRJNA911846 	SRR22722186			
Haro-Moreno2019	Med-OCT2015-2000m	Qualatative			37,35361	-0,286194	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA352798	SRR5007147			
Zhang2022	SW_2	Qualatative			22,36	119,32	Deepsea	Water	HiSeq X Ten	-	-	PRJNA707313	SRR13892595			
Zhang2022	SW_1	Qualatative			22,01	119,28	Deepsea	Water	HiSeq X Ten	-	-	PRJNA707313	SRR13892591			
Cabello-Yeves2021	St307_750m	Quantitative	7,63	2,221	43,169	29,001283	Deepsea	Water	HiSeq X Ten	-	PCI	PRJNA638805	SRR12042682	-	-	8,9
Michoud2021	N4F2	Quantitative	7,15	12,47	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589508	-	-	-
Michoud2021	N4F3	Quantitative	7,14	11,78	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589507	-	-	-
Michoud2021	BODY	Quantitative	7,59	14,9	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589506	-	-	-
Michoud2021	N4F4	Quantitative	7,27	9,68	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589505	-	-	-
Michoud2021	NF4F5	Quantitative	7,56	7,09	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589504	-	-	-
Michoud2021	N4F7	Quantitative	7,89	4,17	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589503	-	-	-
Michoud2021	N5F5	Quantitative	7,73	4,79	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589502	-	-	-
Michoud2021	N5F8	Quantitative	7,9	4,01	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589501	-	-	-
Michoud2021	N7F1	Quantitative	7,39	13,93	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589500	-	-	-
Michoud2021	N7F6	Quantitative	7,18	12,933	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589499	-	-	-
Michoud2021	N7F9	Quantitative	7,22	11,72	19,61	38,73	Deepsea	Water	Illumina HiSeq 4000	Ovation Ultralow V2 DNA-Seq Library preparation kit	PCI	PRJNA593704 	SRR10589498	-	-	-
Sanchez2024	MH_141_4000M	Qualatative			26,9175004	-155,6638603	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10125032			
Sanchez2024	MH_120_4000M	Qualatative			10,7567187	-102,447697	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10123865			
Sanchez2024	MH_101_4000M	Qualatative			21,8909557	-155,6638603	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10123577			
Sanchez2024	MH_092_4000M	Qualatative			-3,3981825	-169,463015	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10123308			
Sanchez2024	MH_083_4000M	Qualatative			-23,349163	-178,2377459	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10123273			
Sanchez2024	MH_076_4000M	Qualatative			-39,2668508	146,5846861	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10123210			
Sanchez2024	MH_063_3M	Qualatative			-29,5907834	96,3912674	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10123006			
Sanchez2024	MH_049_4000M	Qualatative			-33,8679027	36,9808525	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10123002			
Sanchez2024	MH_044_4000M	Qualatative			-33,2718046	15,3932375	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10121400			
Sanchez2024	MH_030_4000M	Qualatative			-25,8642644	-27,6010773	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10121354			
Sanchez2024	MH_019_4000M	Qualatative			-7,2087199	-29,3496807	Deepsea	Water	Illumina HiSeq 2000	TruSeq SBS Kit v3-HS	PCI	PRJEB52452	ERR10114619			
Wu24	PR9	Quantitative	8,03	3,117	21,95305	113,6966833	Estaury	Water	Illumina HiSeq 2000		FastDNA SPIN Kit for Soil	PRJNA878949	SRR21518225			28,29
Wu24	PR10	Quantitative	8,03	3,117	21,94305	113,6966833	Estaury	Water	Illumina HiSeq 2000		FastDNA SPIN Kit for Soil	PRJNA878949	SRR21518224			14,97
Tee21	FS8	Quantitative	7,57	3,28	-36,541722	174,703139	Estaury	Water	Illumina HiSeq 2500	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA668816	SRR12825406	-	-	20,3
Tee21	FS9	Quantitative	7,55	3,49	-36,542361	174,707472	Estaury	Water	Illumina HiSeq 2500	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA668816	SRR12825405	-	-	22,1
Guardia-leiva2023	BacS2	Quantitative	7	2,3	-42,1172	-72,6376	Estuary	Water	Illumina MiSeq	Illumina TruSeq kits	PCI	PRJNA359936	SRR5145178	-	-	17,4
Guardia-leiva2023	BacS3	Quantitative	7	1,4	-42,12333	-72,6792	Estuary	Water	Illumina MiSeq	Illumina TruSeq kits	PCI	PRJNA359936	SRR5145175	-	-	15,34
Guardia-leiva2023	BacS1	Quantitative	7	2,9	-42,1204	-72,6101	Estuary	Water	Illumina MiSeq	Illumina TruSeq kits	PCI	PRJNA359936	SRR5145173	-	-	16,86
Kong2025	A03_IL	Qualatative			40,65486	-74,018	Estuary	Water	Illumina NovaSeq X Plus	Rapid Plus DNA Lib Prep Kit	DNA easy Power Water kit	PRJNA1251010	SRR33139898			25
Kong2025	A06_BayWater	Qualatative			40,65597	74,01967	Estuary	Water	Illumina NovaSeq X Plus	Rapid Plus DNA Lib Prep Kit	DNA easy Power Water kit	PRJNA1251010	SRR33139895			24
Kong2025	A09_OL	Qualatative			40,65494	74,01903	Estuary	Water	Illumina NovaSeq X Plus	Rapid Plus DNA Lib Prep Kit	DNA easy Power Water kit	PRJNA1251010	SRR33139892			24,1
Meziti2016	kal3-nov	Quantitative	7	1,589	39,5886	20,1382	Estuary	Water	Illumina HiSeq 2500	Nextera XT library preparation kit	Mobio Power Soil	PRJNA304352	SRR3098775			13,9
Meziti2016	kal3-may	Quantitative	6,5	1,589	39,5886	20,1382	Estuary	Water	Illumina HiSeq 2500	Nextera XT library preparation kit	Mobio Power Soil	PRJNA304352	SRR3098756			20
Kojima2025	ARD V2	Quantitative	7,94	0,015	29,576155	-91,540344	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit 	In house method	PRJNA1171802	SRR30952033			18,44
Kojima2025	ARD V3	Quantitative	7,87	0,012	29,57616	-91,50344	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952032			17,8
Kojima2025	CJ V4	Quantitative	8,13	2,704	29,762131	-93,340714	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952031			22,02
Kojima2025	CJ V5	Quantitative	8,13	1,048	29,762131	-93,340714	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952030			28,87
Kojima2025	CJ V8	Quantitative	8,06	2,343	29,762131	-93,340714	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952028			28,982
Kojima2025	LKB V10	Quantitative	7,67	0,586	29,867989	-89,676029	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952027			12,62
Kojima2025	LKB V2	Quantitative	8,07	0,494	29,867989	-89,676029	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952026			26,32
Kojima2025	LKB V4	Quantitative	8,84	0,092	29,867989	-89,676029	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952025			26,32
Kojima2025	LKB V5	Quantitative	7,85	0,139	29,867989	-89,676029	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952024			29,7
Kojima2025	LKB V6	Quantitative	8,2	0,019	29,867989	-89,676029	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952023			29,57
Kojima2025	LKB V7	Quantitative	8,49	0,31	29,867989	-89,676029	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952022			32,81
Kojima2025	ARD V5	Quantitative	7,97	0,015	29,57616	-91,50344	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952021			30,32
Kojima2025	LKB V8	Quantitative	7,73	0,787	29,867989	-89,676029	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952020			32,69
Kojima2025	Tbon V10	Quantitative	7,78	0,323	29,243342	-90,660325	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952019			19,45
Kojima2025	Tbon V2	Quantitative	7,56	2,08	29,243342	-90,660325	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952018			24,03
Kojima2025	Tbon V4	Quantitative	7,74	0,449	29,243342	-90,660325	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952017			29,12
Kojima2025	Tbon V5	Quantitative	7,51	0,665	29,243342	-90,660325	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952016			28,42
Kojima2025	Tbon V6	Quantitative	7,62	0,829	29,243342	-90,660325	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952015			28,89
Kojima2025	Tbon V7	Quantitative	8,04	0,296	29,243342	-90,660325	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952014			28,03
Kojima2025	Tbon V8	Quantitative	7,99	1,248	29,243342	-90,660325	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952013			11,25
Kojima2025	ARD V6	Quantitative	8,07	0,201	29,57616	-91,50344	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952012			32,69
Kojima2025	ARD V7	Quantitative	8,4	0,019	29,57616	-91,50344	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952011			31,2
Kojima2025	ARD V8	Quantitative	8,11	0,037	29,57616	-91,50344	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952010			25,71
Kojima2025	ARD V9	Quantitative	8,03	0,026	29,57616	-91,50344	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952009			17,84
Kojima2025	CJ_V10	Quantitative	7,32	1,495	29,762131	-93,340714	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952008			18,61
Kojima2025	CJ V2	Quantitative	8,01	2,259	29,762131	-93,340714	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952007			17,99
Kojima2025	CJ_V3	Quantitative	8,26	1,577	29,762131	-93,340714	Estuary	Water	Illumina NextSeq 500	Kapa HyperPlus kit	In house method	PRJNA1171802	SRR30952006			15,24
Seong2024	Oyster_8	Qualatative			36,50139	126,4585	Estuary	Water	Illumina HiSeq X Ten	TruSeq DNA Nano Kit	DNeasy PowerSoil kit	PRJNA1113386	SRR29090703			24,2
Seong2024	Oyster_11	Qualatative			36,5018	126,46789	Estuary	Water	Illumina HiSeq X Ten	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA1113386	SRR29090699			24,4
Seong2024	Oyster_12	Qualatative			36,51175	126,47197	Estuary	Water	Illumina HiSeq X Ten	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA1113386	SRR29090698			6,5
Seong2024	Shrimp_4	Qualatative			36,88158	126,86369	Estuary	Water	Illumina HiSeq X Ten	TruSeq DNA Nano Kit	DNeasy PowerSoil kit	PRJNA1113386	SRR29090687			28,2
Seong2024	Shrimp_8	Qualatative			36,90011	126,28575	Estuary	Water	Illumina HiSeq X Ten	TruSeq DNA Nano Kit	DNeasy PowerSoil kit	PRJNA1113386	SRR29090683			29,5
Seong2024	Mussels_9	Qualatative			35,11389	128,60306	Estuary	Water	Illumina HiSeq X Ten	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA1113386	SRR29090678			12,9
Seong2024	Mussels_10	Qualatative			35,11889	128,60194	Estuary	Water	Illumina HiSeq X Ten	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA1113386	SRR29090677			13,2
Liu et al,2024	S01_Surface	Quantitative	7,9	0,064	31,3054	121,718	Estuary	Water	Illumina NovaSeq 6000	NovaSeq 6000 Reagent Kit	DNeasy PowerSoil Kit	PRJNA1081583	SRR28144606			32,15
Liu et al,2024	S02_Surface	Quantitative	7,92	2,608	31,0816	122,3027	Estuary	Water	Illumina NovaSeq 6000	NovaSeq 6000 Reagent Kit	DNeasy PowerSoil Kit	PRJNA1081583	SRR28144605			28,97
Liu et al,2024	S03_Surface	Quantitative	8,32	2,986	31,2781	122,883	Estuary	Water	Illumina NovaSeq 6000	NovaSeq 6000 Reagent Kit	DNeasy PowerSoil Kit	PRJNA1081583	SRR28144588			27,78
Xiao2025	P01_Dec2019	Quantitative	7,67	2,51	35,69	139,78	Estuary	Water	Illumina HiSeq X	QIAseq FX DNA Library Kit	DNeasy Plant Mini Kit	PRJNA976879	SRR24742807			
Xiao2025	P02_Dec2019	Quantitative	7,17	0,52	35,69	139,78	Estuary	Water	Illumina HiSeq X	QIAseq FX DNA Library Kit	DNeasy Plant Mini Kit	PRJNA976879	SRR24742789			16,2
Wu24	PR5	Quantitative	7,93	1,562	22,4368333	113,7512833	Estuary	Water	Illumina HiSeq 2000		FastDNA SPIN Kit for Soil	PRJNA878949	SRR21518229			13,43
Wu24	PR6	Quantitative	8,63	2,564	21,95165	113,7044833	Estuary	Water	Illumina HiSeq 2000		FastDNA SPIN Kit for Soil	PRJNA878949	SRR21518228			14,41
Wu24	PR7	Quantitative	8	2,89	22,57053333	113,7174166	Estuary	Water	Illumina HiSeq 2000		FastDNA SPIN Kit for Soil	PRJNA878949	SRR21518227			29,67
Hugerth2016	LMO_120521	Qualatative		0,65	56,93085	17,060667	Estuary	Water	Illumina HiSeq 2500		-	PRJNA273799	SRR2053308			8
Yang2024	S6_3	Quantitative	8,04	1,506	78,92	12,04	Estuary	Water	Illumina HiSeq 2500	NEB Next Ultra DNA Library Prep Kit	DNA easy Power Water kit	PRJNA729603	SRR14527634	-	-	-
Yang2024	S5_1	Quantitative	8,01	0,58	78,91	12,04	Estuary	Water	Illumina HiSeq 2500	NEB Next Ultra DNA Library Prep Kit	DNA easy Power Water kit	PRJNA729603	SRR14527631	-	-	-
Yang2024	S5_2	Quantitative	8	0,516	78,91	12,04	Estuary	Water	Illumina HiSeq 2500	NEB Next Ultra DNA Library Prep Kit	DNA easy Power Water kit	PRJNA729603	SRR14527630	-	-	-
Yang2024	S5_3	Quantitative	8,02	0,506	78,91	12,04	Estuary	Water	Illumina HiSeq 2500	NEB Next Ultra DNA Library Prep Kit	DNA easy Power Water kit	PRJNA729603	SRR14527629	-	-	-
Yang2024	S6_1	Quantitative	8,06	1,521	78,92	12,04	Estuary	Water	Illumina HiSeq 2500	NEB Next Ultra DNA Library Prep Kit	DNA easy Power Water kit	PRJNA729603	SRR14527628	-	-	-
Yang2024	S6_2	Quantitative	8,02	1,509	78,92	12,04	Estuary	Water	Illumina HiSeq 2500	NEB Next Ultra DNA Library Prep Kit	DNA easy Power Water kit	PRJNA729603	SRR14527627	-	-	-
Tee21	FS3	Quantitative	7,2	0,85	-36,5505	174,665389	Estuary	Water	Illumina HiSeq 2500	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA668816	SRR12825412	-	-	20,4
Tee21	FS4	Quantitative	7,26	2	-36,547833	174,674333	Estuary	Water	Illumina HiSeq 2500	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA668816	SRR12825410	-	-	20,7
Tee21	FS5	Quantitative	7,42	2,4	-36,545	174,674139	Estuary	Water	Illumina HiSeq 2500	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA668816	SRR12825409	-	-	-
Tee21	FS6	Quantitative	7,37	2,12	-36,540917	174,678694	Estuary	Water	Illumina HiSeq 2500	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA668816	SRR12825408	-	-	18,3
Tee21	FS7	Quantitative	7,57	2,63	-36,541361	174,701806	Estuary	Water	Illumina HiSeq 2500	TruSeq DNA Nano Kit	DNeasy PowerSoil Kit	PRJNA668816	SRR12825407	-	-	20,3
Cabello-Yeves2021	St301_5m	Quantitative	8,36	1,75	43,155517	28,005383	Estuary	Water	HiSeq X Ten	-	PCI	PRJNA638805	SRR12042686	-	-	22,04
Cabello-Yeves2021	St307_5m	Quantitative	8,35	1,8	43,1696	29,001283	Estuary	Water	HiSeq X Ten	-	PCI	PRJNA638805	SRR12042685	-	-	8,69
Cabello-Yeves2021	St307_30	Quantitative	8,28	1,83	43,169	29,001283	Estuary	Water	HiSeq X Ten	-	PCI	PRJNA638805	SRR12042684	-	-	17,62
Cabello-Yeves2021	St307_150m	Quantitative	7,67	2,087	43,169	29,001283	Estuary	Water	HiSeq X Ten	-	PCI	PRJNA638805	SRR12042683	-	-	21,38
Sunagawa2020	TARA_201	Quantitative	8,119	2,43	74,31	-85,708	Estuary	Water	Illumina HiSeq 2000		-	PRJEB9740	ERR3589558			
Lopez-Garcia2023	GEN190320_L_EV_ALL_lib80451_1474_3				48,689722	1,91644	Freshwater	Water	Illumina HiSeq 2500			PRJNA756245	SRR15526474			
Kadnikov2020	Borehole_5p	Quantitative	7,5	0,586	58,060226	82,826753	Groundwater	Water	Illumina HiSeq 2500	NEBNext® mRNA Library Prep Reagent		PRJNA414521	SRR6186653	0,373	79,429	19,8
Singleton2025	MFD12060	Qualatative			55,3904	10,2646	Groundwater	Water	Illumina NovaSeq 6000		-	PRJNA1071982	SRR28062812			
Singleton2025	MFD12081	Qualatative			56,1979	10,6767	Groundwater	Water	Illumina NovaSeq 6000		-	PRJNA1071982	SRR28062790			
Singleton2025	MFD12009	Qualatative			55,3546	11,687	Groundwater	Water	Illumina NovaSeq 6000		-	PRJNA1071982	SRR28062667			
Anantharaman2016	SRA_RIFOXYA2_FULL	Quantitative	7,46	0,04	39,52917	-107,77222	Groundwater	Water	Illumina HiSeq 2000		In house method	PRJNA288027	SRR2090165			
Anantharaman2016	FP-101_pooled	Quantitative	7,31	0,04	39,53472	-107,7825	Groundwater	Water	Illumina HiSeq 2000		In house method	PRJNA288027	SRR2090160			
Scheffer2021	JR_PW_13,1_metagenome	Quantitative	6,3	13,8	25,68	-89,89	Groundwater	Water	Illumina Miseq	Nextera XT library preparation kit	Mobio Power Soil	PRJNA752507	SRR15357916	8,5	19750	
He2021	Pr1_gw	Quantitative	8,1	0,007	38,66837	-122,58818	Groundwater	Water	Illumina HiSeq 4000		DNeasy PowerSoil Kit	PRJNA640378	SRR12113409	0,0092	0,24	-
He2021	Pr3_gw	Quantitative	8,2	0,00070191	38,70266	-122,51889	Groundwater	Water	Illumina HiSeq 4000		DNeasy PowerSoil Kit	PRJNA640378	SRR12113403	0,031	0,0143	-
He2021	Pr4_gw	Quantitative	8	0,00169	38,69129	-122,54441	Groundwater	Water	Illumina HiSeq 4000		DNeasy PowerSoil Kit	PRJNA640378	SRR12113396	0,059	0,1	-
Maryuma2024	Site3_Jan2022	Quantitative	7,4	0,0178	26,0997	127,6948	Groundwater	Water	Illumina MiSeq	Nextera XT library preparation kit	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437147	0,207	0,59	21,1
Maryuma2024	Site3_Dec2021	Quantitative	7,25	0,0189	26,0997	127,6948	Groundwater	Water	Illumina MiSeq	Nextera XT library preparation kit	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437146	0,225	1,339	24,2
Maryuma2024	Site3_nov2021	Quantitative	6,68	0,0422	26,0997	127,6948	Groundwater	Water	Illumina MiSeq	Nextera XT Library Preparation Ki	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437145	0,14	0,49	20,3
Maryuma2024	Site2_Jan2022	Quantitative	7,03	0,0481	26,10552778	127,73075	Groundwater	Water	Illumina MiSeq	Nextera XT Library Preparation Ki	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437144	0,112	2,07	23,9
Maryuma2024	Site2_Dec2021	Quantitative	6,88	0,0458	26,10552778	127,73075	Groundwater	Water	Illumina MiSeq	Nextera XT library preparation kit	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437143	0,107	2,118	24,4
Maryuma2024	Site2_nov2021	Quantitative	6,8	0,0452	26,10552778	127,73075	Groundwater	Water	Illumina MiSeq	Nextera XT library preparation kit	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437142	0,104	2,07	24,1
Maryuma2024	Site1_Jan2022	Quantitative	7,08	0,033	26,10191389	127,7333417	Groundwater	Water	Illumina MiSeq	Nextera XT library preparation kit	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437141	0,0716	1,51	23,6
Maryuma2024	Site1_Dec2021	Quantitative	6,82	0,0353	26,10191389	127,7333417	Groundwater	Water	Illumina MiSeq	Nextera XT library preparation kit	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437140	0,066	1,54	23,6
